Station,Inundation,Date,fWY,WY,WYClass,fMonth,Season1,Season2,Season3,VolumeAdj,CPUEDaily,CountDaily
SHR,TRUE,2017-05-04,2017,2017,Wet,5,Dry,Spring,Spring,17.0688088011088,1.3499999999999999,23
SHR,TRUE,2017-05-17,2017,2017,Wet,5,Dry,Spring,Spring,30.7342992376992,0.197,6
SHR,TRUE,2018-03-13,2018,2018,Average,3,Wet,Spring,Winter,33.7771742491743,3.3760000000000003,114
SHR,TRUE,2018-03-29,2018,2018,Average,3,Wet,Spring,Winter,22.5005718605719,1.552,35
SHR,TRUE,2018-04-11,2018,2018,Average,4,Dry,Spring,Spring,30.8448763686764,0.485,15
SHR,TRUE,2019-01-23,2019,2019,Wet,1,Wet,Winter,Winter,38.7818571032571,0.518,20
SHR,TRUE,2019-02-20,2019,2019,Wet,2,Wet,Spring,Winter,21.0956593208593,0.425,9
SHR,TRUE,2019-02-27,2019,2019,Wet,2,Wet,Spring,Winter,18.9762643104643,1.951,37
SHR,TRUE,2019-03-12,2019,2019,Wet,3,Wet,Spring,Winter,21.1448047124047,5.721,121
SHR,TRUE,2019-03-21,2019,2019,Wet,3,Wet,Spring,Winter,36.5058111573112,0.163,6
SHR,TRUE,2019-03-29,2019,2019,Wet,3,Wet,Spring,Winter,34.4079172557173,0.959,33
SHR,TRUE,2019-04-04,2019,2019,Wet,4,Dry,Spring,Spring,34.8840132363132,0.287,10
SHR,TRUE,2019-04-09,2019,2019,Wet,4,Dry,Spring,Spring,33.1608529452529,0.994,33
SHR,TRUE,2019-04-16,2019,2019,Wet,4,Dry,Spring,Spring,18.6107454608455,0.861,16
SHR,TRUE,2019-04-23,2019,2019,Wet,4,Dry,Spring,Spring,40.1425701316701,1.82,73
STTD,FALSE,2016-10-04,2017,2017,Wet,10,Wet,Winter,Fall,17.2767548847549,15.86,274
STTD,FALSE,2016-10-31,2017,2017,Wet,10,Wet,Winter,Fall,19.697869049869,0.763,15
STTD,FALSE,2016-11-14,2017,2017,Wet,11,Wet,Winter,Fall,19.9412962892963,0.952,19
STTD,FALSE,2016-11-28,2017,2017,Wet,11,Wet,Winter,Fall,8.48705780705781,1.297,11
STTD,FALSE,2017-05-30,2017,2017,Wet,5,Dry,Spring,Spring,18.8810451143451,0.689,13
STTD,FALSE,2017-06-12,2017,2017,Wet,6,Dry,SummerFall,Spring,21.3721021483021,6.132000000000001,131
STTD,FALSE,2017-07-06,2017,2017,Wet,7,Dry,SummerFall,Summer,18.7504765504766,14.4,270
STTD,FALSE,2017-07-19,2017,2017,Wet,7,Dry,SummerFall,Summer,18.5662613422613,0.54,10
STTD,FALSE,2017-08-02,2017,2017,Wet,8,Dry,SummerFall,Summer,7.48703239103239,1.338,10
STTD,FALSE,2017-08-16,2017,2017,Wet,8,Dry,SummerFall,Summer,24.6190467550468,4.143,102
STTD,FALSE,2017-09-13,2017,2017,Wet,9,Dry,SummerFall,Summer,21.5400211320211,5.104,110
STTD,FALSE,2017-09-20,2017,2017,Wet,9,Dry,SummerFall,Summer,19.579444987445,2.1439999999999997,42
STTD,FALSE,2017-10-04,2018,2018,Average,10,Wet,Winter,Fall,13.7700868140868,0.873,12
STTD,FALSE,2017-10-19,2018,2018,Average,10,Wet,Winter,Fall,19.9610336330336,6.46,129
STTD,FALSE,2017-11-02,2018,2018,Average,11,Wet,Winter,Fall,18.2965176445176,0.274,5
STTD,FALSE,2017-11-15,2018,2018,Average,11,Wet,Winter,Fall,12.9937512937513,0.539,7
STTD,FALSE,2017-11-29,2018,2018,Average,11,Wet,Winter,Fall,14.6648463968464,1.499,22
STTD,FALSE,2017-12-13,2018,2018,Average,12,Wet,Winter,Fall,15.0859097299097,1.856,28
STTD,FALSE,2017-12-20,2018,2018,Average,12,Wet,Winter,Fall,21.704498996499,0.598,13
STTD,FALSE,2018-01-02,2018,2018,Average,1,Wet,Winter,Winter,10.5792162432162,3.6919999999999997,39
STTD,FALSE,2018-01-17,2018,2018,Average,1,Wet,Winter,Winter,19.1123278523279,1.149,22
STTD,FALSE,2018-01-30,2018,2018,Average,1,Wet,Winter,Winter,15.7767167607168,2.09,33
STTD,FALSE,2018-02-28,2018,2018,Average,2,Wet,Spring,Winter,16.9214826974827,1.182,20
STTD,FALSE,2018-04-25,2018,2018,Average,4,Dry,Spring,Spring,15.2635458235458,0.591,9
STTD,FALSE,2018-05-01,2018,2018,Average,5,Dry,Spring,Spring,25.7440753480753,0.507,13
STTD,FALSE,2018-05-15,2018,2018,Average,5,Dry,Spring,Spring,15.0135394695395,2.4650000000000003,37
STTD,FALSE,2018-05-30,2018,2018,Average,5,Dry,Spring,Spring,18.0004574884575,0.726,13
STTD,FALSE,2018-08-08,2018,2018,Average,8,Dry,SummerFall,Summer,37.2772632052632,1.611,60
STTD,FALSE,2018-08-22,2018,2018,Average,8,Dry,SummerFall,Summer,39.6589026829027,1.233,49
STTD,FALSE,2018-09-19,2018,2018,Average,9,Dry,SummerFall,Summer,47.8564794484794,2.384,114
STTD,FALSE,2019-05-20,2019,2019,Wet,5,Dry,Spring,Spring,38.3759753399753,89.689,3442
STTD,FALSE,2019-06-03,2019,2019,Wet,6,Dry,SummerFall,Spring,34.566667998668,59.508,2057
STTD,FALSE,2019-06-17,2019,2019,Wet,6,Dry,SummerFall,Spring,29.1981105021105,4.654,136
STTD,FALSE,2019-07-01,2019,2019,Wet,7,Dry,SummerFall,Summer,26.8822621702622,1.0030000000000001,27
STTD,FALSE,2019-07-15,2019,2019,Wet,7,Dry,SummerFall,Summer,25.6256512856513,6.086,156
STTD,FALSE,2019-08-07,2019,2019,Wet,8,Dry,SummerFall,Summer,40.2049691929692,0.225,9
STTD,FALSE,2019-08-21,2019,2019,Wet,8,Dry,SummerFall,Summer,20.4676254556255,0.391,8
STTD,FALSE,2019-09-04,2019,2019,Wet,9,Dry,SummerFall,Summer,26.4019868059868,1.516,40
STTD,FALSE,2019-09-18,2019,2019,Wet,9,Dry,SummerFall,Summer,26.1782969102969,0.534,14
STTD,TRUE,2016-12-21,2017,2017,Wet,12,Wet,Winter,Fall,43.1220094941095,148.021,6383
STTD,TRUE,2016-12-27,2017,2017,Wet,12,Wet,Winter,Fall,47.2747950796951,4.566,216
STTD,TRUE,2017-01-11,2017,2017,Wet,1,Wet,Winter,Winter,4.86846534996535,9.858,48
STTD,TRUE,2017-01-18,2017,2017,Wet,1,Wet,Winter,Winter,29.4073736659737,2.584,76
STTD,TRUE,2017-01-24,2017,2017,Wet,1,Wet,Winter,Winter,50.6320396396396,1.426,72
STTD,TRUE,2017-02-02,2017,2017,Wet,2,Wet,Spring,Winter,51.8729607761608,0.559,29
STTD,TRUE,2017-02-06,2017,2017,Wet,2,Wet,Spring,Winter,47.8737545391545,0.586,28
STTD,TRUE,2017-02-16,2017,2017,Wet,2,Wet,Spring,Winter,39.2548814968815,2.976,117
STTD,TRUE,2017-02-22,2017,2017,Wet,2,Wet,Spring,Winter,23.4914971586972,4.559,107
STTD,TRUE,2017-03-09,2017,2017,Wet,3,Wet,Spring,Winter,53.6575528066528,20.93,1123
STTD,TRUE,2017-03-14,2017,2017,Wet,3,Wet,Spring,Winter,58.2526469161469,19.925,1161
STTD,TRUE,2017-03-28,2017,2017,Wet,3,Wet,Spring,Winter,34.5707113652114,2.17,75
STTD,TRUE,2017-04-05,2017,2017,Wet,4,Dry,Spring,Spring,40.08420997921,47.476,1903
STTD,TRUE,2017-04-13,2017,2017,Wet,4,Dry,Spring,Spring,29.3029397089397,25.013,733
STTD,TRUE,2017-04-18,2017,2017,Wet,4,Dry,Spring,Spring,40.7845318087318,6.232,254
STTD,TRUE,2017-04-26,2017,2017,Wet,4,Dry,Spring,Spring,35.1604560637561,6.993,246
STTD,TRUE,2017-05-05,2017,2017,Wet,5,Dry,Spring,Spring,42.5537659043659,2.018,86
STTD,TRUE,2017-05-09,2017,2017,Wet,5,Dry,Spring,Spring,49.1238904365904,168.836,8294
STTD,TRUE,2018-03-14,2018,2018,Average,3,Wet,Spring,Winter,12.3029442629443,3.331,41
STTD,TRUE,2018-04-10,2018,2018,Average,4,Dry,Spring,Spring,14.5040336798337,37.028,537
STTD,TRUE,2019-01-22,2019,2019,Wet,1,Wet,Winter,Winter,74.9467221067221,3.1189999999999998,234
STTD,TRUE,2019-02-05,2019,2019,Wet,2,Wet,Spring,Winter,58.8792506583507,1.818,107
STTD,TRUE,2019-02-19,2019,2019,Wet,2,Wet,Spring,Winter,46.688121968122,4.304,201
STTD,TRUE,2019-02-26,2019,2019,Wet,2,Wet,Spring,Winter,56.9779383229383,11.025,628
STTD,TRUE,2019-03-11,2019,2019,Wet,3,Wet,Spring,Winter,44.6977336105336,2.615,117
STTD,TRUE,2019-03-20,2019,2019,Wet,3,Wet,Spring,Winter,52.7145756063756,3.471,183
STTD,TRUE,2019-03-28,2019,2019,Wet,3,Wet,Spring,Winter,50.9883437283437,26.127,1332
STTD,TRUE,2019-04-03,2019,2019,Wet,4,Dry,Spring,Spring,55.3561404019404,29.317,1623
STTD,TRUE,2019-04-08,2019,2019,Wet,4,Dry,Spring,Spring,10.6184761607762,30.887,328
STTD,TRUE,2019-04-15,2019,2019,Wet,4,Dry,Spring,Spring,52.8312959112959,0.909,48
STTD,TRUE,2019-04-22,2019,2019,Wet,4,Dry,Spring,Spring,40.3698675675676,2.827,114
