"Date","StationCode","biovolume","Year","month","WaterYear"
2016-12-13,"LIS",7428955.951688,2016,12,"2017"
2016-12-13,"SHR",3551233.86383,2016,12,"2017"
2016-12-13,"STTD",306101.080958,2016,12,"2017"
2017-12-13,"LIS",4215588.945986,2017,12,"2018"
2017-12-13,"STTD",601468.54019,2017,12,"2018"
2017-12-19,"SHR",952651.12253,2017,12,"2018"
2017-12-20,"LIS",3012977.82833,2017,12,"2018"
2017-12-20,"STTD",589020.389327,2017,12,"2018"
2016-12-21,"LIS",823549.90244,2016,12,"2017"
2016-12-21,"SHR",6623156.036084,2016,12,"2017"
2016-12-21,"STTD",4975393.115018,2016,12,"2017"
2018-12-26,"LIS",1664463.072821,2018,12,"2019"
2018-12-26,"STTD",212876.789204,2018,12,"2019"
2016-12-27,"LIS",4017440.49082,2016,12,"2017"
2016-12-27,"STTD",2684527.380552,2016,12,"2017"
2018-12-27,"SHR",1052394.605529,2018,12,"2019"
2016-12-29,"SHR",1616134.152513,2016,12,"2017"
2018-02-13,"LIS",4886337.324907,2018,2,"2018"
2018-02-13,"STTD",3005639.64337,2018,2,"2018"
2018-02-14,"SHR",962813.61247,2018,2,"2018"
2017-02-16,"STTD",159409.744205,2017,2,"2017"
2019-02-19,"LIS",5010677.63008,2019,2,"2019"
2019-02-19,"STTD",225914.149854,2019,2,"2019"
2017-02-02,"STTD",1271958.17107,2017,2,"2017"
2019-02-20,"SHR",929615.58191,2019,2,"2019"
2017-02-22,"LIS",320956.6814,2017,2,"2017"
2017-02-22,"STTD",243061.27722,2017,2,"2017"
2017-02-23,"SHR",1077439.53125,2017,2,"2017"
2019-02-26,"LIS",13940535.80299,2019,2,"2019"
2019-02-26,"STTD",4748348.26081,2019,2,"2019"
2018-02-27,"SHR",1388779.623804,2018,2,"2018"
2019-02-27,"SHR",11332816.95637,2019,2,"2019"
2018-02-28,"LIS",3433915.552189,2018,2,"2018"
2018-02-28,"STTD",16080230.981562,2018,2,"2018"
2019-02-04,"SHR",6325993.303278,2019,2,"2019"
2019-02-05,"LIS",935294.07523,2019,2,"2019"
2019-02-05,"STTD",85948.71566,2019,2,"2019"
2017-02-06,"LIS",1165279.440037,2017,2,"2017"
2017-02-06,"STTD",1613226.26151,2017,2,"2017"
2017-02-07,"SHR",557535.37129,2017,2,"2017"
2019-03-11,"LIS",299838.04596,2019,3,"2019"
2019-03-11,"STTD",226454.39067,2019,3,"2019"
2019-03-12,"SHR",201176.78951,2019,3,"2019"
2018-03-13,"SHR",468032.16918,2018,3,"2018"
2017-03-14,"LIS",17641841.101318,2017,3,"2017"
2017-03-14,"STTD",3507969.954042,2017,3,"2017"
2018-03-14,"LIS",1310714.600743,2018,3,"2018"
2018-03-14,"STTD",654823.127497,2018,3,"2018"
2019-03-20,"LIS",1427709.07582,2019,3,"2019"
2019-03-20,"STTD",4717207.34323,2019,3,"2019"
2017-03-21,"SHR",125283.07279,2017,3,"2017"
2019-03-21,"SHR",238862.25689,2019,3,"2019"
2017-03-22,"LIS",11630574.50818,2017,3,"2017"
2017-03-22,"STTD",3654822.373534,2017,3,"2017"
2017-03-28,"STTD",2382162.01126,2017,3,"2017"
2018-03-28,"LIS",2368644.04506,2018,3,"2018"
2018-03-28,"STTD",1420576.185859,2018,3,"2018"
2019-03-28,"LIS",10077649.2355,2019,3,"2019"
2019-03-28,"STTD",5903126.43207,2019,3,"2019"
2018-03-29,"SHR",2807982.348377,2018,3,"2018"
2019-03-29,"SHR",9227232.301935,2019,3,"2019"
2017-03-08,"SHR",1453603.068078,2017,3,"2017"
2017-03-09,"LIS",515283.34973,2017,3,"2017"
2017-03-09,"STTD",616837.9943,2017,3,"2017"
2018-04-10,"LIS",924063.40077,2018,4,"2018"
2018-04-10,"STTD",3391989.3023,2018,4,"2018"
2018-04-11,"SHR",1917724.1837,2018,4,"2018"
2017-04-13,"STTD",6729571.501259,2017,4,"2017"
2019-04-15,"LIS",2781339.60599,2019,4,"2019"
2019-04-15,"STTD",194458.37031,2019,4,"2019"
2019-04-16,"SHR",1269912.113393,2019,4,"2019"
2017-04-18,"LIS",907919.08643,2017,4,"2017"
2017-04-18,"STTD",471753.81174,2017,4,"2017"
2017-04-19,"SHR",648420.63006,2017,4,"2017"
2019-04-22,"LIS",1812042.477951,2019,4,"2019"
2019-04-22,"STTD",3282261.71827,2019,4,"2019"
2019-04-23,"SHR",244068.001317,2019,4,"2019"
2018-04-24,"SHR",2769462.9752251,2018,4,"2018"
2018-04-25,"LIS",6726518.382043,2018,4,"2018"
2018-04-25,"STTD",2957304.246986,2018,4,"2018"
2017-04-26,"LIS",536098.57813,2017,4,"2017"
2017-04-26,"STTD",914444.21828,2017,4,"2017"
2019-04-03,"LIS",1123611.03476,2019,4,"2019"
2019-04-03,"STTD",1056684.528531,2019,4,"2019"
2017-04-04,"SHR",1652221.49334,2017,4,"2017"
2019-04-04,"SHR",336568.0287262,2019,4,"2019"
2017-04-05,"LIS",2815665.84158,2017,4,"2017"
2017-04-05,"STTD",4399651.117012,2017,4,"2017"
2019-04-08,"LIS",124328.86319,2019,4,"2019"
2019-04-08,"STTD",564809.23912,2019,4,"2019"
2019-04-09,"SHR",3463633.94929,2019,4,"2019"
2018-05-01,"LIS",3869665.822128,2018,5,"2018"
2018-05-01,"STTD",1256041.92858,2018,5,"2018"
2018-05-15,"LIS",2790289.344262,2018,5,"2018"
2018-05-15,"STTD",1710970.54012,2018,5,"2018"
2017-05-16,"LIS",2928340.464239,2017,5,"2017"
2017-05-16,"STTD",13109760.5846,2017,5,"2017"
2018-05-16,"SHR",5160008.0139785,2018,5,"2018"
2017-05-17,"SHR",717162.8749022,2017,5,"2017"
2018-05-02,"SHR",7470568.412198,2018,5,"2018"
2019-05-20,"LIS",5130003.90159,2019,5,"2019"
2019-05-20,"STTD",452989.28258,2019,5,"2019"
2019-05-21,"SHR",7507465.40651,2019,5,"2019"
2018-05-29,"SHR",1000372.55152,2018,5,"2018"
2017-05-03,"LIS",3493864.21524,2017,5,"2017"
2017-05-30,"LIS",15221442.93243,2017,5,"2017"
2017-05-30,"STTD",3589365.75803,2017,5,"2017"
2018-05-30,"LIS",2369082.68486,2018,5,"2018"
2018-05-30,"STTD",1096019.5502,2018,5,"2018"
2017-05-31,"SHR",594480.19989,2017,5,"2017"
2017-05-04,"SHR",836341.29233,2017,5,"2017"
2017-05-05,"STTD",3858736.614454,2017,5,"2017"
2019-05-06,"LIS",4316538.119048,2019,5,"2019"
2019-05-06,"STTD",1141120.499601,2019,5,"2019"
2019-05-07,"SHR",442993.966562,2019,5,"2019"
2017-05-09,"STTD",11876185.91697,2017,5,"2017"
2017-06-12,"LIS",2199079.76088,2017,6,"2017"
2017-06-12,"STTD",7278807.68016,2017,6,"2017"
2018-06-12,"LIS",1668879.552831,2018,6,"2018"
2018-06-12,"STTD",2980794.7318,2018,6,"2018"
2017-06-13,"SHR",1454249.605421,2017,6,"2017"
2018-06-13,"SHR",1058513.814381,2018,6,"2018"
2019-06-17,"LIS",269884.307694,2019,6,"2019"
2019-06-17,"STTD",87559.652441,2019,6,"2019"
2019-06-18,"SHR",398320.75735,2019,6,"2019"
2017-06-21,"LIS",6912390.2559,2017,6,"2017"
2018-06-26,"LIS",3667837.0455,2018,6,"2018"
2018-06-26,"STTD",2039056.6318,2018,6,"2018"
2017-06-27,"SHR",456694.9400112,2017,6,"2017"
2018-06-27,"SHR",1060475.935884,2018,6,"2018"
2017-06-28,"LIS",9200770.44118,2017,6,"2017"
2017-06-28,"STTD",281136.760234,2017,6,"2017"
2019-06-03,"LIS",2339669.28876,2019,6,"2019"
2019-06-03,"STTD",320553.60916,2019,6,"2019"
2019-06-04,"SHR",401537.45152,2019,6,"2019"
2019-07-01,"LIS",911631.476277,2019,7,"2019"
2019-07-01,"STTD",144061.186745,2019,7,"2019"
2018-07-10,"LIS",773335.8891,2018,7,"2018"
2018-07-11,"STTD",212310.980254,2018,7,"2018"
2018-07-12,"SHR",941235.8140003,2018,7,"2018"
2017-07-13,"LIS",4875243.343006,2017,7,"2017"
2017-07-13,"STTD",675809.9001,2017,7,"2017"
2019-07-15,"LIS",1734277.02467,2019,7,"2019"
2019-07-15,"STTD",229407.24516,2019,7,"2019"
2019-07-16,"SHR",4044178.441142,2019,7,"2019"
2017-07-18,"SHR",1290752.243475,2017,7,"2017"
2017-07-19,"LIS",888319.2766,2017,7,"2017"
2017-07-19,"STTD",3784333.743,2017,7,"2017"
2019-07-02,"SHR",238050.9777141,2019,7,"2019"
2018-07-25,"SHR",5087081.723744,2018,7,"2018"
2018-07-26,"LIS",849407.08324,2018,7,"2018"
2018-07-26,"STTD",800957.292456,2018,7,"2018"
2017-07-27,"LIS",1033384.262853,2017,7,"2017"
2017-07-27,"STTD",1984021.615,2017,7,"2017"
2017-07-06,"LIS",7767908.36832,2017,7,"2017"
2017-07-06,"STTD",2637981.4858,2017,7,"2017"
2017-08-01,"SHR",819317.247627,2017,8,"2017"
2017-08-10,"LIS",1628519.498616,2017,8,"2017"
2017-08-10,"STTD",1337798.14463,2017,8,"2017"
2018-08-13,"LIS",1390671.2719,2018,8,"2018"
2018-08-13,"STTD",150039.26534,2018,8,"2018"
2017-08-15,"SHR",1489817.5883668,2017,8,"2017"
2017-08-16,"LIS",24502836.111244,2017,8,"2017"
2017-08-16,"STTD",13434934.29857,2017,8,"2017"
2019-08-19,"SHR",11852643.067866,2019,8,"2019"
2017-08-02,"LIS",644472.93984,2017,8,"2017"
2017-08-02,"STTD",913928.2343158,2017,8,"2017"
2018-08-02,"LIS",11265320.05653,2018,8,"2018"
2018-08-02,"STTD",158488.32864,2018,8,"2018"
2019-08-20,"LIS",2870973.49564,2019,8,"2019"
2017-08-21,"LIS",632084.6853,2017,8,"2017"
2017-08-21,"STTD",734134.23483,2017,8,"2017"
2019-08-21,"STTD",1739087.86722,2019,8,"2019"
2018-08-22,"LIS",449721.68346,2018,8,"2018"
2018-08-22,"STTD",1979912.1896,2018,8,"2018"
2018-08-23,"SHR",228991.5288,2018,8,"2018"
2017-08-29,"SHR",930284.8072692,2017,8,"2017"
2017-08-30,"LIS",8562198.07103,2017,8,"2017"
2017-08-30,"STTD",2639347.333297,2017,8,"2017"
2018-08-30,"LIS",763125.966305,2018,8,"2018"
2018-08-30,"STTD",300614.39336,2018,8,"2018"
2019-08-05,"SHR",343220.6058892,2019,8,"2019"
2019-08-06,"LIS",2191994.6555,2019,8,"2019"
2019-08-07,"STTD",2008744.68578,2019,8,"2019"
2018-08-08,"LIS",591586.54914,2018,8,"2018"
2018-08-08,"STTD",166331.573905,2018,8,"2018"
2018-08-09,"SHR",420928.883732,2018,8,"2018"
2017-09-12,"SHR",467765.396438,2017,9,"2017"
2017-09-13,"LIS",6644893.740524,2017,9,"2017"
2017-09-13,"STTD",401378.904876,2017,9,"2017"
2018-09-13,"LIS",132961.09052,2018,9,"2018"
2018-09-13,"STTD",4426837.577173,2018,9,"2018"
2019-09-16,"SHR",540224.3566209,2019,9,"2019"
2019-09-17,"LIS",276088.60187,2019,9,"2019"
2019-09-18,"STTD",1036387.131248,2019,9,"2019"
2017-09-19,"SHR",716574.820441,2017,9,"2017"
2018-09-19,"LIS",1101207.38602,2018,9,"2018"
2018-09-19,"STTD",646761.176197,2018,9,"2018"
2017-09-20,"LIS",5069770.971027,2017,9,"2017"
2017-09-20,"STTD",1002252.6322,2017,9,"2017"
2018-09-20,"SHR",157283.711395,2018,9,"2018"
2018-09-27,"LIS",542924.98472,2018,9,"2018"
2018-09-27,"STTD",382186.959901,2018,9,"2018"
2019-09-03,"LIS",5451898.65491,2019,9,"2019"
2019-09-30,"SHR",718957.325005,2019,9,"2019"
2018-09-04,"LIS",2369233.4834,2018,9,"2018"
2019-09-04,"STTD",1376075.285225,2019,9,"2019"
2018-09-05,"STTD",1660768.703209,2018,9,"2018"
2019-09-05,"SHR",538458.504133,2019,9,"2019"
2018-09-06,"SHR",141575.837107,2018,9,"2018"
2017-09-07,"LIS",3183588.75036,2017,9,"2017"
2017-09-07,"STTD",1034941.803173,2017,9,"2017"
